«	«	pg
Það	það	fphen
er	vera	sfg3en
lögreglunnar	lögregla	nveeg
að	að	cn
túlka	túlka	sng
hvort	hvort	c
aðgerðirnar	aðgerð	nvfng
voru	vera	sfg3fþ
löglegar	löglegur	lvfnsf
eða	eða	c
ekki	ekki	aa
og	og	c
við	ég	fp1fn
tókum	taka	sfg1fþ
enga	enginn	foveo
afstöðu	afstaða	nveo
í	í	af
málinu	mál	nheþg
.	.	pl

Við	ég	fp1fn
bara	bara	aa
hörmum	harma	sfg1fn
náttúrlega	náttúrlega	aa
að	að	c
menn	maður	nkfn
gátu	geta	sfg3fþ
ekki	ekki	aa
komið	koma	sþghen
sér	sig	fpkfþ
saman	saman	aa
,	,	pk
»	»	pg
sagði	segja	sfg3eþ
hann	hann	fpken
.	.	pl

«	«	pg
Við	ég	fp1fn
kröfðumst	krefja	sfm1fþ
þess	það	fphee
ekki	ekki	aa
að	að	c
farið	fara	sþghen
yrði	verða	svg3eþ
í	í	af
ákveðna	ákveðinn	lveosf
aðgerð	aðgerð	nveo
gegn	gegn	af
forystumönnum	forystumaður	nkfþ
sjómannasamtakanna	sjómannasamtök	nhfeg
sem	sem	ct
þarna	þarna	aa
voru	vera	sfg3fþ
,	,	pk
heldur	heldur	c
var	vera	sfg3eþ
þetta	þessi	fahen
ákvörðun	ákvörðun	nven
sýslumanns	sýslumaður	nkee
sem	sem	ct
byggir	byggja	sfg3en
á	á	af
hafnarreglugerð	hafnarreglugerð	nveþ
að	að	af
hluta	hluti	nkeþ
,	,	pk
en	en	c
örugglega	örugglega	aa
líka	líka	aa
á	á	af
fleiri	margur	lhfþvm
atriðum	atriði	nhfþ
.	.	pl
»	»	pg

HAFNARSTJÓRI	hafnarstjóri	nken
Hörður	Hörður	nken-s
Blöndal	Blöndal	nken-s
,	,	pk
hafnarstjóri	hafnarstjóri	nken
á	á	af
Akureyri	Akureyri	nveþ-s
,	,	pk
segir	segja	sfg3en
það	það	fpheo
ekki	ekki	aa
hafa	hafa	sng
verið	vera	sþghen
að	að	af
sínu	sinn	feheþ
undirlagi	undirlag	nheþ
að	að	c
forsvarsmenn	forsvarsmaður	nkfn
sjómannasamtaka	sjómannasamtök	nhfe
sem	sem	ct
komu	koma	sfg3fþ
í	í	af
veg	vegur	nkeo
fyrir	fyrir	af
uppskipun	uppskipun	nveo
úr	úr	af
Sólbaki	Sólbakur	nheþ-s
EA	EA	n----s
7	7	ta
hafi	hafa	svg3fn
verið	vera	sþghen
handteknir	handtaka	sþgkfn
.	.	pl

Aðgerðir	aðgerð	nvfn
við	við	af
uppskipun	uppskipun	nveo
úr	úr	af
Sólbaki	Sólbakur	nheþ-s
:	:	pa
Misræmi	misræmi	nhen
í	í	af
rökstuðningi	rökstuðningur	nkeþ
handtöku	handtaka	nvee

GUÐMUNDUR	Guðmundur	nken-s
KRISTJÁNSSON	Kristjánsson	nken-s
Forstjóri	forstjóri	nken
Brims	Brim	nhee-s
fylgdist	fylgja	sfm3eþ
með	með	af
aðgerðum	aðgerð	nvfþ
á	á	af
bryggjunni	bryggja	nveþg
út	út	aa
um	um	af
skrifstofugluggann	skrifstofugluggi	nkeog
hjá	hjá	af
sér	sig	fpkeþ
í	í	aa
gær	gær	aa
.	.	pl

Hann	hann	fpken
þvertekur	þvertaka	sfg3en
fyrir	fyrir	af
að	að	c
lög	lag	nhfn
séu	vera	svg3fn
brotin	brjóta	sþghfn
með	með	af
samningum	samningur	nkfþ
útgerðarinnar	útgerð	nveeg
við	við	af
áhöfn	áhöfn	nveo
Sólbaks	Sólbakur	nkee-s
.	.	pl

TEKNIR	taka	sþgkfn
HÖNDUM	hönd	nvfþ
Forystumenn	forystumaður	nkfn
samtaka	samtök	nhfe
sjómanna	sjómaður	nkfe
handteknir	handtaka	sþgkfn
og	og	c
færðir	færa	sþgkfn
til	til	af
skýrslutöku	skýrslutaka	nvee
.	.	pl

MÁLIN	mál	nhfng
RÆDD	ræða	sþghfn
Guðjón	Guðjón	nken-s
Björnsson	Björnsson	nken-s
,	,	pk
staðgengill	staðgengill	nken
sýslumanns	sýslumaður	nkee
á	á	af
Akureyri	Akureyri	nveþ-s
(	(	pa
til	til	af
vinstri	vinstri	lveevf
)	)	pa
,	,	pk
leitaði	leita	sfg3eþ
samkomulags	samkomulag	nhee
við	við	af
Árna	Árni	nkeo-s
Bjarnason	Bjarnason	nkeo-s
,	,	pk
forseta	forseti	nkeo
Farmanna-	Farmannasamband	kt
og	og	c
fiskimannasambands	fiskimannasamband	nhee
Íslands	Ísland	nhee-s
,	,	pk
áður	áður	aa
en	en	c
til	til	af
handtöku	handtaka	nvee
forsvarsmanna	forsvarsmaður	nkfe
sjómannasamtakanna	sjómannasamtök	nhfeg
kom	koma	sfg3eþ
í	í	aa
gær	gær	aa
.	.	pl

Slökkviliðsmenn	slökkviliðsmaður	nkfn
:	:	pa
Átelja	átelja	sfg3fn
vinnubrögð	vinnubrögð	nhfo
Slökkviliðsmenn	slökkviliðsmaður	nkfn
á	á	af
Keflavíkurflugvelli	Keflavíkurflugvöllur	nkeþ-s
átelja	átelja	sfg3fn
vinnubrögð	vinnubrögð	nhfo
við	við	af
uppsagnir	uppsögn	nvfo
sautján	sautján	tfkfe
slökkviliðsmanna	slökkviliðsmaður	nkfe
í	í	af
lok	lok	nhfo
september	september	nkee
síðastliðins	síðastliðinn	lkeesf
.	.	pl

«	«	pg
Löggiltum	löggiltur	lkfþsf
slökkviliðs-	slökkviliðsmaður	kt
og	og	c
sjúkraflutningamönnum	sjúkraflutningamaður	nkfþ
